               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.019176,             0.01293,           0.0080799,             0.81251,             0.65806,             0.77867,             0.54156,            0.011282,           0.0039528,             0.01219,           0.0091585,           0.0091585,           0.0091585
                  36,            0.018703,            0.012803,           0.0067677,             0.73408,             0.67375,              0.7659,             0.52545,            0.011767,           0.0042095,            0.012338,           0.0091337,           0.0091337,           0.0091337
                  37,            0.018065,             0.01242,            0.007807,             0.67439,             0.74525,             0.75499,             0.54996,            0.010777,           0.0041616,            0.013466,            0.009109,            0.009109,            0.009109
                  38,            0.018639,            0.012895,           0.0086918,             0.77529,              0.6955,             0.75218,             0.56388,           0.0098773,           0.0038299,            0.012186,           0.0090843,           0.0090843,           0.0090843
                  39,            0.017544,            0.012574,           0.0075281,             0.76023,             0.56637,             0.70285,              0.4898,            0.010666,           0.0041196,            0.014485,           0.0090595,           0.0090595,           0.0090595
                  40,            0.018624,             0.01324,            0.007821,             0.57694,             0.51192,             0.54093,             0.32014,            0.017175,           0.0043102,            0.017669,           0.0090347,           0.0090347,           0.0090347
                  41,            0.018983,            0.013006,           0.0086358,             0.78083,             0.71268,               0.785,             0.56549,            0.011047,           0.0042338,            0.012659,             0.00901,             0.00901,             0.00901
                  42,            0.018886,            0.012859,           0.0085809,               0.758,             0.72286,             0.76629,             0.58693,            0.010417,           0.0040523,            0.013237,           0.0089853,           0.0089853,           0.0089853
                  43,            0.017953,            0.012481,           0.0087286,             0.73509,             0.64784,             0.69207,             0.50721,             0.01075,           0.0043591,            0.013947,           0.0089605,           0.0089605,           0.0089605
                  44,             0.01803,            0.013444,            0.008571,             0.55639,             0.58629,             0.62894,             0.43175,            0.011838,           0.0045645,            0.017073,           0.0089358,           0.0089358,           0.0089358
                  45,             0.01806,            0.013099,           0.0081731,             0.74042,             0.61404,             0.73393,             0.53903,             0.01056,           0.0043978,            0.012879,            0.008911,            0.008911,            0.008911
                  46,            0.018619,            0.013145,           0.0082558,             0.65678,              0.6312,             0.69181,              0.4834,            0.011038,           0.0042553,            0.016065,           0.0088863,           0.0088863,           0.0088863
                  47,            0.018131,            0.012662,            0.008043,             0.77951,             0.68443,             0.76839,             0.55908,            0.010984,           0.0041747,            0.014426,           0.0088615,           0.0088615,           0.0088615
                  48,            0.018032,            0.013123,           0.0076386,             0.59351,             0.70832,             0.68579,             0.46509,            0.011925,           0.0044064,            0.015091,           0.0088368,           0.0088368,           0.0088368
                  49,            0.018374,            0.012761,           0.0074479,             0.69092,             0.74039,             0.75751,             0.56984,            0.011457,           0.0040755,            0.013535,            0.008812,            0.008812,            0.008812
                  50,            0.018289,            0.012468,           0.0081301,             0.84487,             0.69669,             0.79344,             0.58716,            0.010688,           0.0039934,            0.012455,           0.0087872,           0.0087872,           0.0087872
                  51,            0.018547,             0.01274,           0.0089286,             0.84754,             0.68506,             0.78348,             0.56456,            0.010811,           0.0041306,            0.012632,           0.0087625,           0.0087625,           0.0087625
                  52,            0.017605,            0.012528,           0.0081613,             0.69182,             0.65817,             0.71744,             0.52846,            0.010217,           0.0041343,            0.018894,           0.0087378,           0.0087378,           0.0087378
                  53,            0.018921,            0.012748,           0.0087991,             0.73063,             0.62133,             0.71347,             0.51191,            0.012108,           0.0040114,            0.011963,            0.008713,            0.008713,            0.008713
                  54,            0.019399,            0.013382,           0.0078109,             0.65255,             0.72675,             0.74355,             0.51576,            0.010944,           0.0040993,            0.015015,           0.0086882,           0.0086882,           0.0086882
                  55,            0.018714,            0.013675,           0.0091031,             0.79195,             0.69868,             0.78645,             0.58777,            0.010975,           0.0040723,            0.013386,           0.0086635,           0.0086635,           0.0086635
                  56,            0.018527,            0.012902,           0.0075727,             0.76922,             0.66826,             0.77976,              0.5738,            0.010657,           0.0041609,            0.013793,           0.0086388,           0.0086388,           0.0086388
                  57,             0.01913,             0.01329,           0.0096649,              0.7113,             0.75589,             0.79215,             0.58361,            0.010558,           0.0042219,            0.016308,            0.008614,            0.008614,            0.008614
                  58,            0.017652,            0.013066,           0.0090742,             0.78897,             0.73889,             0.78535,             0.56031,            0.010176,           0.0043124,            0.013367,           0.0085893,           0.0085893,           0.0085893
                  59,            0.017965,            0.012322,           0.0081727,             0.78849,              0.5979,             0.76836,             0.52263,            0.011236,           0.0042342,            0.015386,           0.0085645,           0.0085645,           0.0085645
                  60,            0.018227,            0.013042,           0.0074407,             0.71137,             0.72303,             0.74162,             0.54393,            0.010546,           0.0042247,            0.015224,           0.0085398,           0.0085398,           0.0085398
                  61,            0.019054,            0.012712,           0.0074059,             0.75164,             0.71203,             0.78139,             0.59256,           0.0099505,           0.0038965,            0.015384,            0.008515,            0.008515,            0.008515
